Nome do Curso,Módulo,Nome do Módulo,Aula,Duração,Data Início,Data Fim,Status
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
